1474924326422;tilting;100
1474924355234;still;97
1474924372156;still;85
1474924372210;tilting;100
1474924412835;still;90
1474925850760;tilting;100
1474925891044;still;82
1474925891156;tilting;100
1474925911289;still;82
1474925931436;still;100
1474926001421;still;85
1474926021601;still;85
1474926042380;still;85
1474926062510;still;92
1474926102363;still;100
1474926122540;still;100
1474926162906;still;92
1474926243851;still;85
1474926304363;still;100
1474926324521;still;100
1474926344776;still;100
1474926365003;still;85
1474926385367;still;92
1474926625527;still;87
1474926645658;still;100
1474926665770;still;100
1474926695668;still;100
1474926715830;still;100
1474926736007;still;100
1474926756194;still;100
1474926776383;still;100
1474926796585;still;100
1474926816678;still;100
1474926834849;still;100
1474926855178;still;100
1474926875368;still;100
1474926896646;still;100
1474926916891;still;100
1474926937109;still;100
1474926951745;still;100
1474926971983;still;100
1474926992217;still;100
1474927012382;still;100
1474927032527;still;100
1474927054990;still;100
1474927075217;still;100
1474927095460;still;100
1474927115672;still;100
1474927556001;still;100
1474943291745;still;100
1474943291831;still;100
1474943291891;still;100
1474944192582;still;100
1474947916507;still;100
1474949432566;still;100
1474951468550;tilting;100
1474951615774;tilting;100
1474951714540;tilting;100
1474951737924;tilting;100
1474951759672;tilting;100
1474951876499;tilting;100
1474951903235;tilting;100
1474951927717;tilting;100
1474951942682;still;82
1474951946803;still;85
1474951956790;still;85
1474951961816;still;85
1474951971953;still;100
1474951976742;still;85
1474951996913;still;100
1474952001888;still;100
1474952011934;still;85
1474952091974;tilting;100
1474952098345;tilting;100
1474952122062;tilting;100
1474952142250;tilting;100
1474952165919;tilting;100
1474952174627;tilting;100
1474952208040;still;100
1474952223809;tilting;100
1474952251060;tilting;100
1474952288989;still;100
1474952294422;still;100
1474952299750;still;100
1474952304988;still;100
1474952310129;still;100
1474952315312;still;100
1474952320534;still;100
1474952325727;still;100
1474952330825;still;100
1474952334937;still;100
1474952340518;still;100
1474952345774;still;100
1474952350936;still;100
1474952356101;still;100
1474952361284;still;100
1474952366544;still;100
1474952371800;still;100
1474952376998;still;100
1474952382155;still;100
1474952385699;still;100
1474952389197;still;100
1474952409529;still;100
1474952429696;still;100
1474952452507;still;100
1474952476367;still;100
1474952496521;still;100
1474952516755;still;100
1474952536919;still;100
1474952557074;still;100
1474952587791;still;100
1474952607956;still;100
1474952628126;still;100
1474952648576;still;100
1474952668869;still;100
1474952689635;still;100
1474952710551;still;100
1474952730761;still;100
1474952750864;still;100
1474952771093;still;100
1474953230730;still;100
1474953670415;still;100
1474953906311;still;100
1474953907612;still;100
1474954109974;still;100
1474954347339;still;100
1474954347764;still;100
1474954397665;still;100
1474954417980;still;100
1474954438527;still;100
1474954458723;still;100
1474954478894;still;100
1474954499054;still;100
1474954518743;still;100
1474954538961;still;100
1474954559111;still;100
1474954579494;still;100
1474954599714;still;100
1474954619954;still;100
1474954639801;still;100
1474954660019;still;100
1474954680165;still;100
1474954700354;still;100
1474954720532;still;100
1474954740884;still;100
1474954760917;still;100
1474954781516;still;100
1474954801897;still;100
1474954822100;still;100
1474954842246;still;100
1474954862562;still;100
1474954882868;still;100
1474955364288;still;100
1474955364956;still;100
1474955949175;tilting;100
1474955989734;walking;69
